size,repository_url,name,owner
519772,https://github.com/Siragon/linux,linux,Siragon
517376,https://github.com/irel/xue-zhi-benjing-ex,xue-zhi-benjing-ex,irel
515728,https://github.com/lbthomsen/openwrt,openwrt,lbthomsen
509656,https://github.com/Tsume/Otoru-Project,Otoru-Project,Tsume
508600,https://github.com/MoKee/android_kernel_samsung_tuna,android_kernel_samsung_tuna,MoKee
505624,https://github.com/una1veritas/Workspace,Workspace,una1veritas
505580,https://github.com/faux123/Galaxy_Note_2,Galaxy_Note_2,faux123
502020,https://github.com/ngiordano/frameworks_base,frameworks_base,ngiordano
497644,https://github.com/ChrisWhiten/MoFREAK,MoFREAK,ChrisWhiten
494204,https://github.com/CyanogenMod/android_kernel_samsung_smdk4412,android_kernel_samsung_smdk4412,CyanogenMod
487596,https://github.com/lawrence-lee/liferay-portal,liferay-portal,lawrence-lee
486660,https://github.com/arkeus/antichromatic,antichromatic,arkeus
482916,https://github.com/bebopsan/SEC-Thesis,SEC-Thesis,bebopsan
480164,https://github.com/amusecode/amuse,amuse,amusecode
480148,https://github.com/shr-distribution/buildhistory,buildhistory,shr-distribution
475492,https://github.com/cloudera/hue,hue,cloudera
473956,https://github.com/cloudsmith/geppetto,geppetto,cloudsmith
471124,https://github.com/bionoren/freenas-extra,freenas-extra,bionoren
470844,https://github.com/riteshsahu1981/we,we,riteshsahu1981
470260,https://github.com/web-payments/minutes,minutes,web-payments
469937,https://github.com/alohaeditor/Aloha-Editor,Aloha-Editor,alohaeditor
469172,https://github.com/linux-sunxi/linux-sunxi,linux-sunxi,linux-sunxi
468668,https://github.com/rapid7/metasploit-framework,metasploit-framework,rapid7
468520,https://github.com/seamusblackmore/remixstagecontent,remixstagecontent,seamusblackmore
465340,https://github.com/adobe/brackets,brackets,adobe
465264,https://github.com/daso2481/brackets,brackets,daso2481
464044,https://github.com/Harry-Wang/b-excellent,b-excellent,Harry-Wang
462712,https://github.com/adeubank/learn-c-the-hard-way,learn-c-the-hard-way,adeubank
461992,https://github.com/nmacs/lm3s-uclinux,lm3s-uclinux,nmacs
456372,https://github.com/KohaAloha/Koha,Koha,KohaAloha
456292,https://github.com/changi67/tiki,tiki,changi67
453900,https://github.com/fp7-ofelia/ocf,ocf,fp7-ofelia
446720,https://github.com/sakai-mirror/melete,melete,sakai-mirror
443404,https://github.com/ralphgerbig/melanee-core,melanee-core,ralphgerbig
443268,https://github.com/sethnel99/HungerGame,HungerGame,sethnel99
443210,https://github.com/ccoughlin/NDIToolbox,NDIToolbox,ccoughlin
440228,https://github.com/ldamon/ftaylorc,ftaylorc,ldamon
438076,https://github.com/MorehouseJ09/prospero,prospero,MorehouseJ09
436688,https://github.com/CBMi-BiG/snpEff,snpEff,CBMi-BiG
430954,https://github.com/transmart/transmartApp,transmartApp,transmart
429652,https://github.com/usc-isi/nova,nova,usc-isi
427412,https://github.com/rh1/gentoo-portage,gentoo-portage,rh1
426316,https://github.com/bayssmekanique/Legacy,Legacy,bayssmekanique
426032,https://github.com/snasir/livebd,livebd,snasir
419908,https://github.com/t3dev/openerp-server,openerp-server,t3dev
416496,https://github.com/Azalrion/Unification-Space,Unification-Space,Azalrion
413788,https://github.com/gecchi/MyMain01,MyMain01,gecchi
413232,https://github.com/jamessan/vim,vim,jamessan
411296,https://github.com/izzoilgaM/guest-host,guest-host,izzoilgaM
404595,https://github.com/open-watcom/open-watcom-v2,open-watcom-v2,open-watcom
404048,https://github.com/rodero95/android_kernel_ti_omap,android_kernel_ti_omap,rodero95
402344,https://github.com/csv/ddr,ddr,csv
401292,https://github.com/hardkernel/linux,linux,hardkernel
400740,https://github.com/vancegroup-mirrors/sofa-framework,sofa-framework,vancegroup-mirrors
400692,https://github.com/ScottNeaves/musical_lemniscate,musical_lemniscate,ScottNeaves
398728,https://github.com/deakkon/SemanticVIRT,SemanticVIRT,deakkon
398012,https://github.com/sanoel/watershed-delineation-algorithm,watershed-delineation-algorithm,sanoel
397744,https://github.com/yoshimasa1700/HFMD_evaluate,HFMD_evaluate,yoshimasa1700
396772,https://github.com/tomhunter-gh/SourceLog,SourceLog,tomhunter-gh
