id size repository_url name owner
140 527768 https://github.com/Kayant/Central_vendor_4.2 Central_vendor_4.2 Kayant
141 525396 https://github.com/BytecodeMe/vanquish vanquish BytecodeMe
142 519780 https://github.com/Ntemis/NOF-Nemesis NOF-Nemesis Ntemis
143 519772 https://github.com/Siragon/linux linux Siragon
144 517376 https://github.com/irel/xue-zhi-benjing-ex xue-zhi-benjing-ex irel
145 515728 https://github.com/lbthomsen/openwrt openwrt lbthomsen
146 509656 https://github.com/Tsume/Otoru-Project Otoru-Project Tsume
147 508600 https://github.com/MoKee/android_kernel_samsung_tuna android_kernel_samsung_tuna MoKee
148 505624 https://github.com/una1veritas/Workspace Workspace una1veritas
149 505580 https://github.com/faux123/Galaxy_Note_2 Galaxy_Note_2 faux123
150 502020 https://github.com/ngiordano/frameworks_base frameworks_base ngiordano
151 497644 https://github.com/ChrisWhiten/MoFREAK MoFREAK ChrisWhiten
152 494204 https://github.com/CyanogenMod/android_kernel_samsung_smdk4412 android_kernel_samsung_smdk4412 CyanogenMod
153 487596 https://github.com/lawrence-lee/liferay-portal liferay-portal lawrence-lee
154 486660 https://github.com/arkeus/antichromatic antichromatic arkeus
155 482916 https://github.com/bebopsan/SEC-Thesis SEC-Thesis bebopsan
156 480164 https://github.com/amusecode/amuse amuse amusecode
157 480148 https://github.com/shr-distribution/buildhistory buildhistory shr-distribution
158 475492 https://github.com/cloudera/hue hue cloudera
159 473956 https://github.com/cloudsmith/geppetto geppetto cloudsmith
160 471124 https://github.com/bionoren/freenas-extra freenas-extra bionoren
161 470844 https://github.com/riteshsahu1981/we we riteshsahu1981
162 470260 https://github.com/web-payments/minutes minutes web-payments
163 469937 https://github.com/alohaeditor/Aloha-Editor Aloha-Editor alohaeditor
164 469172 https://github.com/linux-sunxi/linux-sunxi linux-sunxi linux-sunxi
165 468668 https://github.com/rapid7/metasploit-framework metasploit-framework rapid7
166 468520 https://github.com/seamusblackmore/remixstagecontent remixstagecontent seamusblackmore
167 465340 https://github.com/adobe/brackets brackets adobe
168 465264 https://github.com/daso2481/brackets brackets daso2481
169 464044 https://github.com/Harry-Wang/b-excellent b-excellent Harry-Wang
170 462712 https://github.com/adeubank/learn-c-the-hard-way learn-c-the-hard-way adeubank
171 461992 https://github.com/nmacs/lm3s-uclinux lm3s-uclinux nmacs
172 456372 https://github.com/KohaAloha/Koha Koha KohaAloha
173 456292 https://github.com/changi67/tiki tiki changi67
174 453900 https://github.com/fp7-ofelia/ocf ocf fp7-ofelia
175 446720 https://github.com/sakai-mirror/melete melete sakai-mirror
176 443404 https://github.com/ralphgerbig/melanee-core melanee-core ralphgerbig
177 443268 https://github.com/sethnel99/HungerGame HungerGame sethnel99
178 443210 https://github.com/ccoughlin/NDIToolbox NDIToolbox ccoughlin
179 440228 https://github.com/ldamon/ftaylorc ftaylorc ldamon
